pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
EURAUD,long,2021-08-06 06:00:00-04:00,1.59806,1.598155,1.59698,1.60206,2021-08-06 06:05:00-04:00,1.59773,1.5976350000000001,-5.199999999998539,-0.4425531914892652,time_stop,1.5,0.2,1.6018,1.59776
CHFJPY,long,2021-08-09 04:25:00-04:00,120.295,120.30449999999999,120.226,120.69500000000001,2021-08-09 04:50:00-04:00,120.226,120.21650000000001,-8.799999999997965,-1.1210191082801222,sl,1.5,0.2,120.482,120.338
EURJPY,long,2021-08-09 05:55:00-04:00,129.543,129.5525,129.44400000000002,129.943,2021-08-09 06:00:00-04:00,129.54,129.5305,-2.200000000001978,-0.20276497695872212,time_stop,1.5,0.2,129.624,129.504
GBPUSD,short,2021-08-10 03:30:00-04:00,1.38516,1.385065,1.38604,1.38116,2021-08-10 03:35:00-04:00,1.38604,1.386135,10.699999999999044,1.0974358974358578,sl,1.5,0.2,1.38516,1.38362
EURGBP,long,2021-08-10 03:45:00-04:00,0.8467,0.8467950000000001,0.8462000000000001,0.8507,2021-08-10 04:00:00-04:00,0.8462000000000001,0.846105,-6.900000000000794,-1.1596638655463283,sl,1.5,0.2,0.84804,0.84739
EURUSD,long,2021-08-11 04:10:00-04:00,1.17161,1.171705,1.1705,1.17561,2021-08-11 06:00:00-04:00,1.17102,1.170925,-7.800000000000029,-0.6473029045643711,time_stop,1.5,0.2,1.17256,1.17118
NZDUSD,long,2021-08-11 05:35:00-04:00,0.70019,0.700285,0.69904,0.70419,2021-08-11 06:00:00-04:00,0.70022,0.7001249999999999,-1.6000000000016001,-0.1285140562250228,time_stop,1.5,0.2,0.70136,0.6996
GBPCHF,long,2021-08-12 03:25:00-04:00,1.27836,1.278455,1.2776,1.28236,2021-08-12 04:55:00-04:00,1.2776,1.2775050000000001,-9.499999999997844,-1.1111111111110823,sl,1.5,0.2,1.27872,1.27796
USDCAD,short,2021-08-12 04:00:00-04:00,1.25124,1.251145,1.25229,1.24724,2021-08-12 06:00:00-04:00,1.25117,1.2512649999999998,1.1999999999989797,0.10480349344969697,time_stop,1.5,0.2,1.25146,1.25015
GBPUSD,short,2021-08-12 04:10:00-04:00,1.38684,1.3867450000000001,1.38798,1.38284,2021-08-12 06:00:00-04:00,1.38624,1.3863349999999999,-4.100000000002435,-0.3319838056682469,time_stop,1.5,0.2,1.38746,1.38643
GBPCAD,short,2021-08-12 04:10:00-04:00,1.736,1.735905,1.73686,1.732,2021-08-12 06:00:00-04:00,1.73442,1.734515,-13.900000000000023,-1.4554973821988957,time_stop,1.5,0.2,1.73575,1.734
AUDJPY,long,2021-08-12 04:45:00-04:00,81.32,81.32949999999998,81.21799999999999,81.72,2021-08-12 06:00:00-04:00,81.277,81.26750000000001,-6.199999999996919,-0.5560538116589545,time_stop,1.5,0.2,81.442,81.254
AUDCHF,long,2021-08-12 04:45:00-04:00,0.67917,0.6792650000000001,0.6781200000000001,0.68317,2021-08-12 06:00:00-04:00,0.67856,0.678465,-8.00000000000134,-0.6986899563319565,time_stop,1.5,0.2,0.67986,0.67877
EURGBP,long,2021-08-12 04:50:00-04:00,0.84712,0.847215,0.84592,0.85112,2021-08-12 06:00:00-04:00,0.84701,0.846915,-3.00000000000078,-0.23166023166028363,time_stop,1.5,0.2,0.8468,0.84625
